model_name,candidate_id,host_face_id,host_area,host_center,inner_loop_index,loop_edge_count,candidate_face_ids,candidate_face_areas,candidate_face_centers,relative_area,candidate_surface_types,heuristic_score
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,15,216,34.918915,43.278633 25.748217 -746.190691,1,4,F217 F223 F224 F225,0.464947 1.088709 0.464645 1.061365,43.811069 25.806702 -742.850942;42.242482 29.597385 -746.192752;43.648640 25.807451 -749.532789;44.976735 22.019234 -746.191923,0.088195,6 6 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,16,234,34.976015,43.520607 25.782208 -731.196494,1,4,F235 F239 F240 F243,0.470452 1.085698 0.465621 1.063131,44.004954 25.831723 -727.854711;42.433571 29.596164 -731.198030;43.944336 25.798050 -734.540069;45.260109 22.019369 -731.197143,0.088200,0 6 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,17,251,34.995570,43.663068 25.764268 -716.199449,1,4,F253 F259 F260 F261,0.465344 1.090524 0.465595 1.063571,44.132878 25.805360 -712.857658;42.573009 29.595208 -716.199895;44.093470 25.805389 -719.541590;45.411002 22.017960 -716.199789,0.088155,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,18,270,35.000089,43.709931 25.770078 -701.201960,1,4,F271 F277 F278 F279,0.467927 1.090770 0.465814 1.061507,44.162374 25.795019 -697.859929;42.608519 29.594421 -701.202095;44.157163 25.804236 -704.544217;45.465584 22.016805 -701.202253,0.088172,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,19,287,34.999966,43.690595 25.773233 -686.203742,1,4,F289 F294 F295 F296,0.471490 0.466016 1.090867 1.058099,44.129226 25.779081 -682.861461;44.144229 25.803046 -689.546052;42.589056 29.594326 -686.203559;45.445101 22.015815 -686.204021,0.088185,0 0 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,20,305,34.996917,43.625776 25.774188 -671.204677,1,4,F307 F312 F313 F314,0.472422 0.466017 1.090858 1.057270,44.056882 25.775095 -667.862088;44.082637 25.802940 -674.547031;42.526365 29.594266 -671.204341;45.373678 22.015828 -671.204897,0.088195,0 0 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,21,324,34.897389,42.780006 25.741906 -761.182271,1,4,F325 F331 F332 F333,0.464257 1.088543 0.464160 1.060916,43.374673 25.800586 -757.843331;41.783135 29.598134 -761.185124;43.091897 25.800995 -764.525238;44.437737 22.020989 -761.184367,0.088198,6 6 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,37,417,34.997282,-43.625682 25.774563 -671.204599,1,4,F418 F422 F423 F426,0.465298 1.090546 0.465732 1.063994,-44.081568 25.805826 -674.547001;-42.526141 29.594982 -671.204331;-44.046491 25.805080 -667.861976;-45.361060 22.017800 -671.204450,0.088166,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,38,435,35.000290,-43.690511 25.773567 -686.203692,1,4,F436 F440 F441 F444,0.465461 1.090660 0.465759 1.063874,-44.143375 25.805393 -689.546032;-42.588964 29.594752 -686.203550;-44.120341 25.804667 -682.861380;-45.433409 22.017448 -686.203629,0.088164,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,40,487,34.897959,-42.779990 25.741985 -761.182270,1,4,F488 F492 F493 F496,0.464117 1.088459 0.464298 1.061002,-43.091924 25.800919 -764.525238;-41.782885 29.598270 -761.185141;-43.369033 25.815920 -757.843334;-44.437879 22.020890 -761.184299,0.088196,6 6 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,41,505,34.919499,-43.278602 25.748333 -746.190691,1,4,F506 F510 F511 F514,0.464580 1.088846 0.464900 1.061369,-43.651792 25.799818 -749.532788;-42.242339 29.597197 -746.192765;-43.808540 25.814380 -742.850944;-44.976932 22.018883 -746.191852,0.088194,6 6 6 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,42,522,34.981931,-43.520557 25.782387 -731.196612,1,4,F524 F528 F529 F532,0.465685 1.091587 0.466103 1.062493,-43.941857 25.805492 -734.540071;-42.448641 29.593733 -731.197647;-44.017333 25.801754 -727.854484;-45.260261 22.016502 -731.197115,0.088213,6 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,43,540,35.000245,-43.663099 25.764213 -716.199376,1,4,F542 F547 F548 F549,0.473608 0.465906 1.090879 1.055667,-44.105946 25.769434 -719.541421;-44.133886 25.802600 -712.857644;-42.573257 29.594706 -716.199889;-45.424915 22.015696 -716.199259,0.088173,0 0 6 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,44,559,35.000384,-43.709928 25.770065 -701.201955,1,4,F560 F564 F565 F568,0.469151 1.090787 0.465770 1.060191,-44.162428 25.788587 -704.544178;-42.608396 29.594617 -701.202088;-44.159122 25.804002 -697.859927;-45.466526 22.016510 -701.201858,0.088168,0 6 0 6,38.237
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,51,578,34.995372,-43.621068 25.786794 -611.202205,1,4,F579 F583 F584 F587,0.465644 1.090756 0.465905 1.063822,-44.029629 25.805445 -614.544813;-42.484251 29.595061 -611.202200;-44.030009 25.803632 -607.859597;-45.334096 22.017339 -611.202201,0.088187,0 6 0 6,38.236
95- 737-800-4 CREO STP_boeing_737_cj_wing_rivets.step,52,596,34.995256,-43.621301 25.786798 -626.202206,1,4,F597 F601 F602 F605,0.465642 1.090753 0.465893 1.063827,-44.029872 25.805454 -629.544815;-42.484527 29.595068 -626.202201;-44.030223 25.803694 -622.859599;-45.334297 22.017346 -626.202201,0.088187,0 6 0 6,38.236
